cas,ir_labels,uv_labels,ir_peaks,uv_peaks
529-34-0,"['aromatic_ch', 'ether_co', 'aromatic_cc', 'amide_cn', 'alkyl_halide_ccl', 'amide_nh', 'ester_co_c', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'nitro_no2_sym', 'sulfone_so2', 'alkyl_halide_cbr', 'alkyl_halide_cI', 'sulfate_so4', 'alkane_ch_sp3', 'amine_cn', 'alkene_cc', 'alkene_ch_sp2', 'alkene_out_of_plane_ch', 'carboxylic_acid_oh_broad']",[],"[472.1442885771543, 544.2885771543087, 630.8617234468938, 739.0781563126252, 883.3667334669339, 1013.2264529058116, 1114.2284569138278, 1179.1583166332666, 1215.2304609218436, 1272.9458917835673, 1316.2324649298598, 1438.877755511022, 1597.5951903807616, 1698.5971943887776, 1756.312625250501, 2874.5490981963926, 2939.478957915832, 3069.3386773547095, 3393.987975951904, 450.501002004008, 501.002004008016, 522.6452905811623, 587.5751503006012, 666.9338677354709, 703.0060120240481, 739.0781563126252, 811.2224448897796, 919.438877755511, 977.1543086172345, 1042.0841683366734, 1085.370741482966, 1128.6573146292585, 1150.3006012024048, 1200.801603206413, 1244.0881763527054, 1301.803607214429, 1366.7334669338677, 1496.5931863727455, 1626.4529058116232, 1799.5991983967936, 1893.3867735470942, 2030.4609218436874, 2896.1923847695393, 2989.9799599198395, 3206.4128256513027]","[214.04682274247492, 248.16053511705684, 292.3076923076923, 304.3478260869565]"
542-88-1,"['amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'nitro_no2_sym', 'aromatic_ch', 'alkene_out_of_plane_ch', 'nitro_no2_asym', 'ether_co', 'aromatic_cc', 'alkyl_halide_ccl', 'alkyl_halide_cbr', 'sulfone_so2', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'sulfate_so4']",[],"[551.5030060120241, 811.2224448897796, 897.7955911823647, 984.3687374749499, 1063.7274549098197, 1186.372745490982, 1251.302605210421, 1294.5891783567135, 1402.805611222445, 1474.9498997995993, 1713.0260521042085, 2088.176352705411, 2153.1062124248497, 2521.0420841683367, 2917.8356713426856, 2997.194388777555, 3769.138276553106, 501.002004008016, 775.1503006012024, 998.7975951903808, 1078.1563126252504, 1135.871743486974, 1208.0160320641282, 1265.7314629258517, 1359.5190380761524, 1597.5951903807616, 2023.246492985972, 3076.553106212425, 3769.138276553106, 630.8617234468938, 674.1482965931864, 919.438877755511, 1034.8697394789579, 1063.7274549098197, 1092.5851703406813, 1121.442885771543, 1229.6593186372745, 1316.2324649298598, 1446.0921843687374, 2030.4609218436874, 2953.9078156312626, 501.002004008016, 825.6513026052105, 998.7975951903808, 1063.7274549098197, 1150.3006012024048, 1208.0160320641282, 1265.7314629258517, 1294.5891783567135, 1431.6633266533067, 1539.879759519038, 1669.739478957916, 2073.7474949899797, 2297.3947895791584, 2528.2565130260523, 2939.478957915832, 3018.8376753507014, 3170.3406813627253, 3783.5671342685373]",[]
108-84-9,"['ether_co', 'aromatic_cc', 'amide_cn', 'anhydride_co', 'alkyl_halide_ccl', 'ester_co_c', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkyne_cc', 'nitro_no2_sym', 'sulfone_so2', 'alkyl_halide_cbr', 'ester_co', 'alkyl_halide_cI', 'sulfate_so4', 'alkane_ch_sp3', 'amine_cn', 'alkene_cc', 'alkene_out_of_plane_ch', 'carboxylic_acid_oh_broad']",[],"[594.7895791583167, 1020.440881763527, 1114.2284569138278, 1229.6593186372745, 1280.1603206412826, 1359.5190380761524, 1446.0921843687374, 1705.811623246493, 1749.0981963927857, 2953.9078156312626, 580.3607214428857, 731.8637274549098, 832.8657314629259, 905.0100200400802, 984.3687374749499, 1092.5851703406813, 1150.3006012024048, 1193.5871743486973, 1316.2324649298598, 1410.0200400801605, 1496.5931863727455, 1626.4529058116232, 2109.819639278557, 3776.3527054108217]",[]
74-84-0,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'alkyl_halide_ccl', 'carboxylic_acid_oh_broad', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI']",[],"[464.92985971943887, 659.7194388777555, 1222.4448897795592, 1691.3827655310622, 2420.040080160321, 2802.4048096192387, 2896.1923847695393, 3610.4208416833667, 3783.5671342685373, 832.8657314629259, 1438.877755511022, 2917.8356713426856, 2953.9078156312626, 2997.194388777555]",[]
79-00-5,"['amine_cn', 'aromatic_out_of_plane_ch', 'nitro_no2_sym', 'alkene_out_of_plane_ch', 'ether_co', 'alkyl_halide_ccl', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'sulfate_so4']",[],"[674.1482965931864, 739.0781563126252, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1049.2985971943888, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1049.2985971943888, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1049.2985971943888, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 681.3627254509017, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 681.3627254509017, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 739.0781563126252, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 739.0781563126252, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 681.3627254509017, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 739.0781563126252, 789.5791583166333, 933.8677354709419, 1049.2985971943888, 1157.5150300601204, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 681.3627254509017, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 479.35871743486973, 623.6472945891784, 710.2204408817636, 775.1503006012024, 868.937875751503, 1114.2284569138278, 1186.372745490982, 1236.8737474949899, 1294.5891783567135, 1366.7334669338677, 2917.8356713426856, 3783.5671342685373, 515.4308617234469, 666.9338677354709, 717.4348697394789, 767.935871743487, 919.438877755511, 1034.8697394789579, 1150.3006012024048, 1193.5871743486973, 1244.0881763527054, 1294.5891783567135, 1431.6633266533067, 2953.9078156312626, 674.1482965931864, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 739.0781563126252, 789.5791583166333, 933.8677354709419, 1049.2985971943888, 1157.5150300601204, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 746.2925851703407, 789.5791583166333, 941.0821643286573, 1056.5130260521041, 1164.7294589178357, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409, 674.1482965931864, 739.0781563126252, 789.5791583166333, 933.8677354709419, 1049.2985971943888, 1157.5150300601204, 1208.0160320641282, 1265.7314629258517, 1309.0180360721442, 1438.877755511022, 2975.551102204409]",[]
75-15-0,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'alkyne_cc', 'anhydride_co', 'nitro_no2_asym', 'isocyanate_nco', 'alkyl_halide_ccl', 'nitrile_cn', 'carboxylic_acid_oh_broad', 'aromatic_cc', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'alkyl_halide_cbr']",[],"[472.1442885771543, 537.0741482965932, 760.7214428857715, 969.939879759519, 1229.6593186372745, 1799.5991983967936, 1979.9599198396793, 2246.8937875751503, 2528.2565130260523, 2874.5490981963926, 3365.130260521042, 3761.923847695391, 1467.7354709418837, 1518.2364729458918, 2153.1062124248497, 479.35871743486973, 688.5771543086173, 840.0801603206413, 1222.4448897795592, 1568.7374749498997, 2225.250501002004, 2362.3246492985973, 2903.4068136272545, 3776.3527054108217, 450.501002004008, 580.3607214428857, 753.5070140280561, 1215.2304609218436, 1792.3847695390782, 2254.1082164328654, 2383.9679358717435, 2860.120240480962, 3783.5671342685373]",[]
512-56-1,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkene_out_of_plane_ch', 'alkyl_halide_ccl', 'carboxylic_acid_oh_broad', 'amide_nh', 'aromatic_cc', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'alkyl_halide_cbr']",[],"[731.8637274549098, 825.6513026052105, 1049.2985971943888, 1099.7995991983967, 1171.943887775551, 1294.5891783567135, 1453.306613226453, 2852.9058116232463, 2946.693386773547, 428.85771543086173, 479.35871743486973, 594.7895791583167, 674.1482965931864, 775.1503006012024, 926.6533066132265, 1150.3006012024048, 1229.6593186372745, 1395.5911823647293, 1496.5931863727455, 1756.312625250501, 1850.1002004008017, 1987.1743486973949, 2881.763527054108, 2982.7655310621244, 3256.913827655311, 3660.921843687375, 3783.5671342685373]",[]
106-42-3,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkyne_cc', 'aromatic_ch', 'alkene_ch_sp2', 'nitro_no2_asym', 'ether_co', 'aromatic_cc', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'amide_cn', 'ester_co_c', 'alkyl_halide_cI', 'alkyl_halide_cbr', 'sulfate_so4']",[],"[796.7935871743487, 1034.8697394789579, 1114.2284569138278, 1229.6593186372745, 1482.1643286573146, 1518.2364729458918, 1561.5230460921844, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2932.2645290581163, 3018.8376753507014, 796.7935871743487, 1034.8697394789579, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1056.5130260521041, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2888.9779559118238, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1056.5130260521041, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2888.9779559118238, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1056.5130260521041, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2888.9779559118238, 2939.478957915832, 3018.8376753507014, 472.1442885771543, 746.2925851703407, 789.5791583166333, 1027.6553106212425, 1114.2284569138278, 1222.4448897795592, 1467.7354709418837, 1511.0220440881765, 1597.5951903807616, 1871.743486973948, 2874.5490981963926, 2917.8356713426856, 2997.194388777555, 796.7935871743487, 1042.0841683366734, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3026.052104208417, 796.7935871743487, 1034.8697394789579, 1114.2284569138278, 1229.6593186372745, 1482.1643286573146, 1518.2364729458918, 1561.5230460921844, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2932.2645290581163, 3018.8376753507014, 623.6472945891784, 739.0781563126252, 883.3667334669339, 1078.1563126252504, 1143.0861723446894, 1193.5871743486973, 1265.7314629258517, 1388.3767535070142, 1489.37875751503, 1590.3807615230462, 1691.3827655310622, 1821.2424849699398, 2131.4629258517034, 2557.1142284569137, 2665.3306613226455, 2766.3326653306613, 2903.4068136272545, 2982.7655310621244, 3581.563126252505, 3927.8557114228456, 796.7935871743487, 1049.2985971943888, 1114.2284569138278, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1049.2985971943888, 1114.2284569138278, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1034.8697394789579, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 443.2865731462926, 558.7174348697395, 760.7214428857715, 832.8657314629259, 1013.2264529058116, 1085.370741482966, 1157.5150300601204, 1272.9458917835673, 1410.0200400801605, 1489.37875751503, 1590.3807615230462, 1676.9539078156313, 1814.0280561122245, 2016.0320641282565, 2766.3326653306613, 2888.9779559118238, 2961.122244488978, 3191.983967935872, 3978.3567134268537, 796.7935871743487, 1049.2985971943888, 1114.2284569138278, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1042.0841683366734, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3026.052104208417, 796.7935871743487, 1049.2985971943888, 1114.2284569138278, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1034.8697394789579, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1034.8697394789579, 1114.2284569138278, 1229.6593186372745, 1482.1643286573146, 1518.2364729458918, 1561.5230460921844, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2932.2645290581163, 3018.8376753507014, 796.7935871743487, 1042.0841683366734, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3026.052104208417, 724.6492985971944, 861.7234468937876, 1085.370741482966, 1193.5871743486973, 1280.1603206412826, 1590.3807615230462, 1691.3827655310622, 1821.2424849699398, 2138.677354709419, 2773.547094188377, 2903.4068136272545, 2968.3366733466933, 796.7935871743487, 1034.8697394789579, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1056.5130260521041, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2888.9779559118238, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1042.0841683366734, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3026.052104208417, 508.21643286573146, 580.3607214428857, 890.5811623246493, 1070.941883767535, 1135.871743486974, 1193.5871743486973, 1301.803607214429, 1395.5911823647293, 1482.1643286573146, 1590.3807615230462, 1684.1683366733466, 1806.8136272545091, 2016.0320641282565, 2751.9038076152306, 2888.9779559118238, 2975.551102204409, 3076.553106212425, 3776.3527054108217, 796.7935871743487, 1034.8697394789579, 1114.2284569138278, 1229.6593186372745, 1482.1643286573146, 1518.2364729458918, 1554.308617234469, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2932.2645290581163, 3018.8376753507014, 796.7935871743487, 1034.8697394789579, 1114.2284569138278, 1229.6593186372745, 1482.1643286573146, 1518.2364729458918, 1561.5230460921844, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2932.2645290581163, 3018.8376753507014, 796.7935871743487, 1049.2985971943888, 1114.2284569138278, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1785.1703406813626, 1886.1723446893789, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1034.8697394789579, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3018.8376753507014, 796.7935871743487, 1042.0841683366734, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2881.763527054108, 2939.478957915832, 3026.052104208417, 796.7935871743487, 1056.5130260521041, 1121.442885771543, 1229.6593186372745, 1518.2364729458918, 1626.4529058116232, 1792.3847695390782, 1893.3867735470942, 2744.689378757515, 2888.9779559118238, 2939.478957915832, 3018.8376753507014]",[]
526-73-8,"['alkane_ch_sp3', 'amine_cn', 'aromatic_out_of_plane_ch', 'benzene_ring_breathing', 'alkyne_cc', 'aromatic_ch', 'alkene_ch_sp2', 'nitro_no2_asym', 'ether_co', 'aromatic_cc', 'carboxylic_acid_oh_broad', 'alkyl_halide_ccl', 'nitrile_cn', 'amide_cn', 'ester_co_c', 'alkyl_halide_cbr', 'sulfate_so4']",[],"[515.4308617234469, 695.7915831663327, 753.5070140280561, 796.7935871743487, 991.5831663326653, 1078.1563126252504, 1381.1623246492986, 1474.9498997995993, 1575.9519038076153, 1713.0260521042085, 1835.6713426853707, 1907.8156312625251, 2874.5490981963926, 2917.8356713426856, 3040.4809619238476, 616.4328657314629, 688.5771543086173, 731.8637274549098, 854.5090180360721, 912.2244488977956, 1049.2985971943888, 1121.442885771543, 1222.4448897795592, 1294.5891783567135, 1410.0200400801605, 1568.7374749498997, 1633.6673346693387, 1691.3827655310622, 1821.2424849699398, 1878.9579158316633, 2210.821643286573, 2759.118236472946, 2888.9779559118238, 3004.4088176352707, 3639.2785571142285, 3935.070140280561]",[262.2073578595318]
100-01-6,"['amine_cn', 'amine_nh_primary', 'aromatic_out_of_plane_ch', 'nitro_no2_sym', 'aromatic_ch', 'nitro_no2_asym', 'ether_co', 'amide_nh', 'aromatic_cc', 'alkyl_halide_cbr', 'alkyl_halide_ccl', 'sulfone_so2', 'amine_nh_secondary', 'ester_co_c', 'amide_cn', 'sulfate_so4']",[],"[609.2184368737475, 674.1482965931864, 731.8637274549098, 840.0801603206413, 1107.0140280561122, 1157.5150300601204, 1222.4448897795592, 1272.9458917835673, 1337.875751503006, 1511.0220440881765, 1612.0240480961925, 1662.5250501002004, 1886.1723446893789, 3047.695390781563, 3199.198396793587, 3422.8456913827654, 3509.418837675351]","[226.08695652173913, 368.561872909699, 422.74247491638795]"
